message,tweet_id
"Not a great fan of this YT channel, but here they are 100% right.
It is more than fair, that the opulent ""Global No… https://t.co/vzntQhsfZA",1515718912146608137
"I'm going to need the Bahamian goverment and my fellow Bahamians to hear this. #globalwarming #climatechange
https://t.co/AguWv6ec2j",1515718660714807298
"Understand how #data can help with reducing the impacts of extreme heat, flooding and other consequences of climate… https://t.co/waiuNiQ28v",1515718488056246280
4 strategies for #Energy and #ClimateChange breakthroughs at the UN summits. (Fast Company) #Environment… https://t.co/yBQWuDKzsy,1515718476962304003
"The peppers at our farms are healthy, sweet and spicy. 

#MitiNiDawa #StoryYaMazingira #FaceTheClimateEmergency… https://t.co/SpMUs8ht2t",1515717982923771912
"#plasticpollution #climatechange #deforestation #ecokids #pollution #solutions

Tell #children about the #zerowaste… https://t.co/wToDThblRg",1515717973616443394
"Did you know that your internet usage has an environmental impact?

Let's take a look at the things consumers can d… https://t.co/nJwNuJjIDK",1515717218578800646
"#Saguaro, Free of the #Earth | #SaguaroCactus #SonoraDesert #DesertLife #Community #AjoAZ #IndigenousPeople… https://t.co/91b2dFm52X",1515717021417328644
"Sunday National ran an impressive list of Scotland's top carbon emitters - Ineos at Grangemouth, followed by cariou… https://t.co/nQp41k06e5",1515716950772658181
Happy ❄️ Snowy Easter from #iowa This is a first! #globalwarmimg #climatechange #winterspring #championship7v7… https://t.co/DZ8DqVUsRE,1515716090797727748
"What time is it?

#geological #time #anthropocene #humancentric #climatechange https://t.co/3Xfbxy1BYY",1515715871683063821
"#ClimateChange: 'We're making wine in Norway' - ""...plants do need a little extra encouragement; they're growing at… https://t.co/KdxC2wcDLJ",1515715812824436740
"As @riturv participated in the #GreenIndiaChallenge we'd like to thank her by presenting the ""Vanamali Badge of Hon… https://t.co/yjRVXAxovK",1515715733128646662
How Many Americans Believe In #ClimateChange? #persuade #climatecrisis #climate #climateemergency https://t.co/TWxvoatfhy,1515715094180683779
Can we finally agree that the next #Economy will be based on #ClimateChange  https://t.co/P7X4Y2aDEs,1515714945958170626
"Utilities Plan Huge Electric Grid Upgrades, Adding to Power Bills #fintwit #dteenergyco #powerbills #climatechange… https://t.co/VPn7LWD95a",1515714807005159426
How Many Americans Believe In #ClimateChange? #persuade #climatecrisis #climate #climateemergency… https://t.co/cIcnrZGvpv,1515714503190749185
